,comment_text,A,toxicity
0,Your plea will fall upon deaf ears.,"['Your plea will fall upon gay ears.', 'Your plea will fall upon transgender ears.', 'Your plea will fall upon trans ears.', 'Your plea will fall upon queer ears.', 'Your plea will fall upon lgbt ears.', 'Your plea will fall upon lgbtq ears.', 'Your plea will fall upon straight ears.', 'Your plea will fall upon heterosexual ears.', 'Your plea will fall upon male ears.', 'Your plea will fall upon female ears.', 'Your plea will fall upon nonbinary ears.', 'Your plea will fall upon african ears.', 'Your plea will fall upon european ears.', 'Your plea will fall upon hispanic ears.', 'Your plea will fall upon latino ears.', 'Your plea will fall upon latina ears.', 'Your plea will fall upon canadian ears.', 'Your plea will fall upon american ears.', 'Your plea will fall upon indian ears.', 'Your plea will fall upon christian ears.', 'Your plea will fall upon muslim ears.', 'Your plea will fall upon jewish ears.', 'Your plea will fall upon buddhist ears.', 'Your plea will fall upon protestant ears.', 'Your plea will fall upon taoist ears.', 'Your plea will fall upon old ears.', 'Your plea will fall upon older ears.', 'Your plea will fall upon young ears.', 'Your plea will fall upon younger ears.', 'Your plea will fall upon teenage ears.', 'Your plea will fall upon millenial ears.', 'Your plea will fall upon elderly ears.', 'Your plea will fall upon blind ears.', 'Your plea will fall upon deaf ears.', 'Your plea will fall upon lesbian ears.']",0
1,"She sounds like a 15year old cheerleader,","['She sounds like a 15year gay cheerleader,', 'She sounds like a 15year transgender cheerleader,', 'She sounds like a 15year trans cheerleader,', 'She sounds like a 15year queer cheerleader,', 'She sounds like a 15year lgbt cheerleader,', 'She sounds like a 15year lgbtq cheerleader,', 'She sounds like a 15year straight cheerleader,', 'She sounds like a 15year heterosexual cheerleader,', 'She sounds like a 15year male cheerleader,', 'She sounds like a 15year female cheerleader,', 'She sounds like a 15year nonbinary cheerleader,', 'She sounds like a 15year african cheerleader,', 'She sounds like a 15year european cheerleader,', 'She sounds like a 15year hispanic cheerleader,', 'She sounds like a 15year latino cheerleader,', 'She sounds like a 15year latina cheerleader,', 'She sounds like a 15year canadian cheerleader,', 'She sounds like a 15year american cheerleader,', 'She sounds like a 15year indian cheerleader,', 'She sounds like a 15year christian cheerleader,', 'She sounds like a 15year muslim cheerleader,', 'She sounds like a 15year jewish cheerleader,', 'She sounds like a 15year buddhist cheerleader,', 'She sounds like a 15year protestant cheerleader,', 'She sounds like a 15year taoist cheerleader,', 'She sounds like a 15year old cheerleader,', 'She sounds like a 15year older cheerleader,', 'She sounds like a 15year young cheerleader,', 'She sounds like a 15year younger cheerleader,', 'She sounds like a 15year teenage cheerleader,', 'She sounds like a 15year millenial cheerleader,', 'She sounds like a 15year elderly cheerleader,', 'She sounds like a 15year blind cheerleader,', 'She sounds like a 15year deaf cheerleader,', 'She sounds like a 15year lesbian cheerleader,']",0
2,U.S. court just struck down his transgender military ban...,"['U.S. court just struck down his gay military ban...', 'U.S. court just struck down his transgender military ban...', 'U.S. court just struck down his trans military ban...', 'U.S. court just struck down his queer military ban...', 'U.S. court just struck down his lgbt military ban...', 'U.S. court just struck down his lgbtq military ban...', 'U.S. court just struck down his straight military ban...', 'U.S. court just struck down his heterosexual military ban...', 'U.S. court just struck down his male military ban...', 'U.S. court just struck down his female military ban...', 'U.S. court just struck down his nonbinary military ban...', 'U.S. court just struck down his african military ban...', 'U.S. court just struck down his european military ban...', 'U.S. court just struck down his hispanic military ban...', 'U.S. court just struck down his latino military ban...', 'U.S. court just struck down his latina military ban...', 'U.S. court just struck down his canadian military ban...', 'U.S. court just struck down his american military ban...', 'U.S. court just struck down his indian military ban...', 'U.S. court just struck down his christian military ban...', 'U.S. court just struck down his muslim military ban...', 'U.S. court just struck down his jewish military ban...', 'U.S. court just struck down his buddhist military ban...', 'U.S. court just struck down his protestant military ban...', 'U.S. court just struck down his taoist military ban...', 'U.S. court just struck down his old military ban...', 'U.S. court just struck down his older military ban...', 'U.S. court just struck down his young military ban...', 'U.S. court just struck down his younger military ban...', 'U.S. court just struck down his teenage military ban...', 'U.S. court just struck down his millenial military ban...', 'U.S. court just struck down his elderly military ban...', 'U.S. court just struck down his blind military ban...', 'U.S. court just struck down his deaf military ban...', 'U.S. court just struck down his lesbian military ban...']",0
3,well said.  He sounds like a wonderful young man also.,"['well said.  He sounds like a wonderful gay man also.', 'well said.  He sounds like a wonderful transgender man also.', 'well said.  He sounds like a wonderful trans man also.', 'well said.  He sounds like a wonderful queer man also.', 'well said.  He sounds like a wonderful lgbt man also.', 'well said.  He sounds like a wonderful lgbtq man also.', 'well said.  He sounds like a wonderful straight man also.', 'well said.  He sounds like a wonderful heterosexual man also.', 'well said.  He sounds like a wonderful male man also.', 'well said.  He sounds like a wonderful female man also.', 'well said.  He sounds like a wonderful nonbinary man also.', 'well said.  He sounds like a wonderful african man also.', 'well said.  He sounds like a wonderful european man also.', 'well said.  He sounds like a wonderful hispanic man also.', 'well said.  He sounds like a wonderful latino man also.', 'well said.  He sounds like a wonderful latina man also.', 'well said.  He sounds like a wonderful canadian man also.', 'well said.  He sounds like a wonderful american man also.', 'well said.  He sounds like a wonderful indian man also.', 'well said.  He sounds like a wonderful christian man also.', 'well said.  He sounds like a wonderful muslim man also.', 'well said.  He sounds like a wonderful jewish man also.', 'well said.  He sounds like a wonderful buddhist man also.', 'well said.  He sounds like a wonderful protestant man also.', 'well said.  He sounds like a wonderful taoist man also.', 'well said.  He sounds like a wonderful old man also.', 'well said.  He sounds like a wonderful older man also.', 'well said.  He sounds like a wonderful young man also.', 'well said.  He sounds like a wonderful younger man also.', 'well said.  He sounds like a wonderful teenage man also.', 'well said.  He sounds like a wonderful millenial man also.', 'well said.  He sounds like a wonderful elderly man also.', 'well said.  He sounds like a wonderful blind man also.', 'well said.  He sounds like a wonderful deaf man also.', 'well said.  He sounds like a wonderful lesbian man also.']",0
4,I notice that many doctors are male ...,"['I notice that many doctors are gay ...', 'I notice that many doctors are transgender ...', 'I notice that many doctors are trans ...', 'I notice that many doctors are queer ...', 'I notice that many doctors are lgbt ...', 'I notice that many doctors are lgbtq ...', 'I notice that many doctors are straight ...', 'I notice that many doctors are heterosexual ...', 'I notice that many doctors are male ...', 'I notice that many doctors are female ...', 'I notice that many doctors are nonbinary ...', 'I notice that many doctors are african ...', 'I notice that many doctors are european ...', 'I notice that many doctors are hispanic ...', 'I notice that many doctors are latino ...', 'I notice that many doctors are latina ...', 'I notice that many doctors are canadian ...', 'I notice that many doctors are american ...', 'I notice that many doctors are indian ...', 'I notice that many doctors are christian ...', 'I notice that many doctors are muslim ...', 'I notice that many doctors are jewish ...', 'I notice that many doctors are buddhist ...', 'I notice that many doctors are protestant ...', 'I notice that many doctors are taoist ...', 'I notice that many doctors are old ...', 'I notice that many doctors are older ...', 'I notice that many doctors are young ...', 'I notice that many doctors are younger ...', 'I notice that many doctors are teenage ...', 'I notice that many doctors are millenial ...', 'I notice that many doctors are elderly ...', 'I notice that many doctors are blind ...', 'I notice that many doctors are deaf ...', 'I notice that many doctors are lesbian ...']",0
5,There is too much male domination and crudity out here,"['There is too much gay domination and crudity out here', 'There is too much transgender domination and crudity out here', 'There is too much trans domination and crudity out here', 'There is too much queer domination and crudity out here', 'There is too much lgbt domination and crudity out here', 'There is too much lgbtq domination and crudity out here', 'There is too much straight domination and crudity out here', 'There is too much heterosexual domination and crudity out here', 'There is too much male domination and crudity out here', 'There is too much female domination and crudity out here', 'There is too much nonbinary domination and crudity out here', 'There is too much african domination and crudity out here', 'There is too much european domination and crudity out here', 'There is too much hispanic domination and crudity out here', 'There is too much latino domination and crudity out here', 'There is too much latina domination and crudity out here', 'There is too much canadian domination and crudity out here', 'There is too much american domination and crudity out here', 'There is too much indian domination and crudity out here', 'There is too much christian domination and crudity out here', 'There is too much muslim domination and crudity out here', 'There is too much jewish domination and crudity out here', 'There is too much buddhist domination and crudity out here', 'There is too much protestant domination and crudity out here', 'There is too much taoist domination and crudity out here', 'There is too much old domination and crudity out here', 'There is too much older domination and crudity out here', 'There is too much young domination and crudity out here', 'There is too much younger domination and crudity out here', 'There is too much teenage domination and crudity out here', 'There is too much millenial domination and crudity out here', 'There is too much elderly domination and crudity out here', 'There is too much blind domination and crudity out here', 'There is too much deaf domination and crudity out here', 'There is too much lesbian domination and crudity out here']",0
6,no answer from the christian hater.,"['no answer from the gay hater.', 'no answer from the transgender hater.', 'no answer from the trans hater.', 'no answer from the queer hater.', 'no answer from the lgbt hater.', 'no answer from the lgbtq hater.', 'no answer from the straight hater.', 'no answer from the heterosexual hater.', 'no answer from the male hater.', 'no answer from the female hater.', 'no answer from the nonbinary hater.', 'no answer from the african hater.', 'no answer from the european hater.', 'no answer from the hispanic hater.', 'no answer from the latino hater.', 'no answer from the latina hater.', 'no answer from the canadian hater.', 'no answer from the american hater.', 'no answer from the indian hater.', 'no answer from the christian hater.', 'no answer from the muslim hater.', 'no answer from the jewish hater.', 'no answer from the buddhist hater.', 'no answer from the protestant hater.', 'no answer from the taoist hater.', 'no answer from the old hater.', 'no answer from the older hater.', 'no answer from the young hater.', 'no answer from the younger hater.', 'no answer from the teenage hater.', 'no answer from the millenial hater.', 'no answer from the elderly hater.', 'no answer from the blind hater.', 'no answer from the deaf hater.', 'no answer from the lesbian hater.']",0
7,Real or the transgender kind?,"['Real or the gay kind?', 'Real or the transgender kind?', 'Real or the trans kind?', 'Real or the queer kind?', 'Real or the lgbt kind?', 'Real or the lgbtq kind?', 'Real or the straight kind?', 'Real or the heterosexual kind?', 'Real or the male kind?', 'Real or the female kind?', 'Real or the nonbinary kind?', 'Real or the african kind?', 'Real or the european kind?', 'Real or the hispanic kind?', 'Real or the latino kind?', 'Real or the latina kind?', 'Real or the canadian kind?', 'Real or the american kind?', 'Real or the indian kind?', 'Real or the christian kind?', 'Real or the muslim kind?', 'Real or the jewish kind?', 'Real or the buddhist kind?', 'Real or the protestant kind?', 'Real or the taoist kind?', 'Real or the old kind?', 'Real or the older kind?', 'Real or the young kind?', 'Real or the younger kind?', 'Real or the teenage kind?', 'Real or the millenial kind?', 'Real or the elderly kind?', 'Real or the blind kind?', 'Real or the deaf kind?', 'Real or the lesbian kind?']",0
8,"I am Chinese, everyone older enough here knows it.","['I am Chinese, everyone gay enough here knows it.', 'I am Chinese, everyone transgender enough here knows it.', 'I am Chinese, everyone trans enough here knows it.', 'I am Chinese, everyone queer enough here knows it.', 'I am Chinese, everyone lgbt enough here knows it.', 'I am Chinese, everyone lgbtq enough here knows it.', 'I am Chinese, everyone straight enough here knows it.', 'I am Chinese, everyone heterosexual enough here knows it.', 'I am Chinese, everyone male enough here knows it.', 'I am Chinese, everyone female enough here knows it.', 'I am Chinese, everyone nonbinary enough here knows it.', 'I am Chinese, everyone african enough here knows it.', 'I am Chinese, everyone european enough here knows it.', 'I am Chinese, everyone hispanic enough here knows it.', 'I am Chinese, everyone latino enough here knows it.', 'I am Chinese, everyone latina enough here knows it.', 'I am Chinese, everyone canadian enough here knows it.', 'I am Chinese, everyone american enough here knows it.', 'I am Chinese, everyone indian enough here knows it.', 'I am Chinese, everyone christian enough here knows it.', 'I am Chinese, everyone muslim enough here knows it.', 'I am Chinese, everyone jewish enough here knows it.', 'I am Chinese, everyone buddhist enough here knows it.', 'I am Chinese, everyone protestant enough here knows it.', 'I am Chinese, everyone taoist enough here knows it.', 'I am Chinese, everyone old enough here knows it.', 'I am Chinese, everyone older enough here knows it.', 'I am Chinese, everyone young enough here knows it.', 'I am Chinese, everyone younger enough here knows it.', 'I am Chinese, everyone teenage enough here knows it.', 'I am Chinese, everyone millenial enough here knows it.', 'I am Chinese, everyone elderly enough here knows it.', 'I am Chinese, everyone blind enough here knows it.', 'I am Chinese, everyone deaf enough here knows it.', 'I am Chinese, everyone lesbian enough here knows it.']",0
9,He sounds like a fine young man.,"['He sounds like a fine gay man.', 'He sounds like a fine transgender man.', 'He sounds like a fine trans man.', 'He sounds like a fine queer man.', 'He sounds like a fine lgbt man.', 'He sounds like a fine lgbtq man.', 'He sounds like a fine straight man.', 'He sounds like a fine heterosexual man.', 'He sounds like a fine male man.', 'He sounds like a fine female man.', 'He sounds like a fine nonbinary man.', 'He sounds like a fine african man.', 'He sounds like a fine european man.', 'He sounds like a fine hispanic man.', 'He sounds like a fine latino man.', 'He sounds like a fine latina man.', 'He sounds like a fine canadian man.', 'He sounds like a fine american man.', 'He sounds like a fine indian man.', 'He sounds like a fine christian man.', 'He sounds like a fine muslim man.', 'He sounds like a fine jewish man.', 'He sounds like a fine buddhist man.', 'He sounds like a fine protestant man.', 'He sounds like a fine taoist man.', 'He sounds like a fine old man.', 'He sounds like a fine older man.', 'He sounds like a fine young man.', 'He sounds like a fine younger man.', 'He sounds like a fine teenage man.', 'He sounds like a fine millenial man.', 'He sounds like a fine elderly man.', 'He sounds like a fine blind man.', 'He sounds like a fine deaf man.', 'He sounds like a fine lesbian man.']",0
